feature,weight,valid,char_count,word_count,unique_word_count,sentence_count,avg_word_length,en_tokens,tl_tokens,other_tokens,en_ratio,tl_ratio,other_ratio,code_switch_points,code_switch_ratio,symptom_cue_hits,onset_cue_hits,contains_numeric,contains_time_expression,weight_numeric,valid_numeric
weight,1.0,0.025783757986611727,-0.02417672164207228,-0.01309714487160825,-0.019128426286033715,-0.02403735101871409,-0.07582484041320264,0.041101513303523275,-0.06792466518604252,,0.0776550907840082,-0.07765509078400835,,0.010614362277550674,0.012130857790501146,-0.06802237920815168,0.019720719033351625,,0.0031397904760400784,1.0,0.025783757986611727
valid,0.025783757986611727,1.0,-0.0035670496500127217,-0.011308251365473655,-0.07869563215781543,0.004596596010148433,0.01652455727931524,0.001595636489210598,-0.020492004741002233,,0.009478942462712532,-0.00947894246271432,,-0.024793110623532424,-0.022401412775002412,-0.0886970278972069,0.08585077415420131,,0.10488381014939578,0.025783757986611717,1.0
char_count,-0.02417672164207228,-0.0035670496500127217,1.0,0.9696929348083073,0.8633722812545965,0.3204085428864642,0.21230774761396953,0.7938524261545793,0.7094628979533054,,0.06706894214298624,-0.0670689421429872,,0.75760292391928,0.012351445582637923,0.1283377116984477,0.23782193516258995,,0.19926018764381162,-0.024176721642072237,-0.0035670496500127434
word_count,-0.01309714487160825,-0.011308251365473655,0.9696929348083073,1.0,0.8962784205859947,0.3220636227216319,-0.02450577543234357,0.8061088848143009,0.7457707046796993,,0.050192150727038,-0.05019215072703891,,0.771116477534519,0.004750178390688276,0.12150447100367416,0.21462771011788534,,0.17989583554399236,-0.013097144871608263,-0.01130825136547367
unique_word_count,-0.019128426286033715,-0.07869563215781543,0.8633722812545965,0.8962784205859947,1.0,0.33462618434822683,-0.0224623549255089,0.7163060795090254,0.6753889587186739,,0.0446000625124518,-0.044600062512452444,,0.6194538607925747,-0.1006515155392763,0.127041386269008,0.18461608979126407,,0.16519878766656185,-0.019128426286033697,-0.07869563215781547
sentence_count,-0.02403735101871409,0.004596596010148433,0.3204085428864642,0.3220636227216319,0.33462618434822683,1.0,0.029614759294739515,0.18283653359366073,0.3266254336893236,,-0.11203704711644312,0.11203704711644248,,0.3367938707197692,0.14675158404541666,0.12479298263892513,0.14611803366790044,,0.1717788525938727,-0.02403735101871408,0.004596596010148423
avg_word_length,-0.07582484041320264,0.01652455727931524,0.21230774761396953,-0.02450577543234357,-0.0224623549255089,0.029614759294739515,1.0,0.005982853309502844,-0.04725021818560001,,0.029939371920914972,-0.0299393719209156,,-0.01485165666715651,-0.019074813849734043,0.024838347524427214,0.08197707717020615,,0.0616486147237174,-0.07582484041320262,0.016524557279315233
en_tokens,0.041101513303523275,0.001595636489210598,0.7938524261545793,0.8061088848143009,0.7163060795090254,0.18283653359366073,0.005982853309502844,1.0,0.2069354500655948,,0.6133272180667895,-0.6133272180667904,,0.6110055959168352,-0.009262392586617377,-0.0002958434530616626,0.2132192145458032,,0.21721271592618296,0.041101513303523296,0.0015956364892105942
tl_tokens,-0.06792466518604252,-0.020492004741002233,0.7094628979533054,0.7457707046796993,0.6753889587186739,0.3266254336893236,-0.04725021818560001,0.2069354500655948,1.0,,-0.6074931353327293,0.6074931353327289,,0.5870074278728076,0.018280819256948203,0.20121348672080053,0.11479984549166201,,0.05288264528897479,-0.06792466518604251,-0.020492004741002236
other_tokens,,,,,,,,,,,,,,,,,,,,,
